match_id,date,home_elo,away_elo,home_form,away_form,home_win_rate,away_win_rate,home_rest_days,away_rest_days,result
220,2022-02-04,1479.04,1408.53,10,3,0.45454545454545453,0.0,12,13,H
221,2022-02-05,1480.96,1428.88,8,2,0.3,0.1,13,13,H
222,2022-02-05,1454.29,1447.56,1,5,0.2,0.2727272727272727,14,14,H
223,2022-02-05,1496.44,1501.54,10,4,0.2727272727272727,0.1,14,13,H
224,2022-02-05,1487.12,1581.19,6,9,0.18181818181818182,0.45454545454545453,13,14,D
225,2022-02-06,1501.75,1520.43,4,5,0.36363636363636365,0.4,15,14,D
226,2022-02-06,1542.3,1537.8,11,7,0.6,0.36363636363636365,14,15,H
227,2022-02-06,1545.83,1511.88,7,10,0.5454545454545454,0.1,16,15,A
228,2022-02-06,1596.87,1476.16,8,5,0.6363636363636364,0.09090909090909091,14,14,H
229,2022-02-07,1520.93,1480.51,10,4,0.4,0.09090909090909091,15,17,H
230,2022-02-11,1580.64,1487.46,9,11,0.7272727272727273,0.16666666666666666,6,6,H
231,2022-02-12,1439.87,1504.45,4,10,0.0,0.36363636363636365,7,7,D
232,2022-02-12,1524.92,1601.77,10,10,0.5833333333333334,0.7272727272727273,6,6,D
233,2022-02-12,1493.53,1487.67,4,7,0.7272727272727273,0.45454545454545453,7,7,A
234,2022-02-12,1530.05,1485.08,7,10,0.6,0.0,6,8,H
235,2022-02-13,1422.38,1500.15,2,2,0.25,0.2727272727272727,8,7,H
236,2022-02-13,1402.49,1532.79,3,7,0.09090909090909091,0.5454545454545454,9,7,A
237,2022-02-13,1522.04,1471.26,6,2,0.45454545454545453,0.08333333333333333,7,7,H
238,2022-02-13,1473.71,1550.05,4,11,0.5454545454545454,0.2727272727272727,6,7,D
239,2022-02-14,1461.98,1527.72,3,10,0.2727272727272727,0.25,9,7,H
240,2022-02-16,1536.73,1394.07,10,3,0.6363636363636364,0.0,4,3,A
241,2022-02-18,1481.95,1481.24,10,1,0.36363636363636365,0.09090909090909091,7,6,H
242,2022-02-19,1464.73,1524.97,1,8,0.36363636363636365,0.18181818181818182,6,7,A
243,2022-02-19,1499.95,1521.17,10,7,0.16666666666666666,0.3333333333333333,7,3,A
244,2022-02-19,1439.57,1478.4,5,7,0.0,0.0,7,7,D
245,2022-02-19,1601.71,1432.46,8,4,0.6666666666666666,0.09090909090909091,7,6,H
246,2022-02-20,1473.75,1586.14,2,9,0.5,0.4166666666666667,7,9,D
247,2022-02-20,1490.07,1550.02,2,11,0.3333333333333333,0.25,7,7,A
248,2022-02-20,1541.21,1471.71,10,6,0.5,0.18181818181818182,7,6,H
249,2022-02-20,1517.99,1528.57,10,9,0.45454545454545453,0.36363636363636365,6,7,H
250,2022-02-21,1504.75,1409.62,8,6,0.3333333333333333,0.08333333333333333,9,5,D
251,2022-02-25,1414.16,1489.81,4,10,0.08333333333333333,0.15384615384615385,4,7,H
252,2022-02-26,1465.65,1479.63,6,2,0.3333333333333333,0.25,6,6,A
253,2022-02-26,1479.44,1428.52,8,3,0.5,0.08333333333333333,7,7,D
254,2022-02-26,1473.38,1605.65,1,11,0.6666666666666666,0.6666666666666666,8,7,A
255,2022-02-26,1532.71,1500.21,9,9,0.5833333333333334,0.3333333333333333,7,5,H
256,2022-02-27,1535.4,1474.82,10,3,0.5384615384615384,0.08333333333333333,8,7,H
257,2022-02-27,1585.07,1547.28,7,12,0.75,0.5833333333333334,7,7,H
258,2022-02-27,1520.4,1488.42,8,7,0.5,0.5,7,8,H
259,2022-02-27,1560.45,1526.16,11,10,0.6363636363636364,0.23076923076923078,7,7,H
260,2022-02-28,1454.31,1438.53,0,6,0.3333333333333333,0.25,9,9,D
261,2022-03-02,1453.91,1527.42,6,8,0.3076923076923077,0.3333333333333333,4,3,A
262,2022-03-04,1432.0,1591.93,4,9,0.3076923076923077,0.38461538461538464,6,5,D
263,2022-03-05,1481.4,1541.68,7,13,0.15384615384615385,0.25,6,6,H
264,2022-03-05,1468.54,1475.97,2,6,0.46153846153846156,0.0,6,7,H
265,2022-03-05,1491.37,1451.75,4,1,0.3076923076923077,0.07692307692307693,7,5,H
266,2022-03-05,1614.02,1537.46,11,10,0.6923076923076923,0.38461538461538464,7,3,H
267,2022-03-06,1441.08,1465.02,6,0,0.0,0.08333333333333333,6,8,H
268,2022-03-06,1479.79,1567.4,7,13,0.4166666666666667,0.3076923076923077,9,7,A
269,2022-03-06,1493.21,1443.86,6,6,0.3076923076923077,0.16666666666666666,8,4,H
270,2022-03-06,1540.41,1539.71,9,9,0.5384615384615384,0.38461538461538464,7,8,A
271,2022-03-07,1519.2,1424.18,9,7,0.5,0.07692307692307693,8,10,H
272,2022-03-11,1551.86,1449.63,12,6,0.6153846153846154,0.23076923076923078,5,5,H
273,2022-03-12,1418.72,1476.62,7,5,0.15384615384615385,0.07692307692307693,5,7,D
274,2022-03-12,1444.94,1470.15,1,6,0.3076923076923077,0.14285714285714285,7,6,A
275,2022-03-12,1532.11,1499.78,10,8,0.5714285714285714,0.3076923076923077,7,6,H
276,2022-03-12,1467.89,1498.19,5,7,0.46153846153846156,0.3076923076923077,7,7,D
277,2022-03-13,1456.48,1589.54,0,9,0.6153846153846154,0.35714285714285715,7,9,D
278,2022-03-13,1528.27,1524.66,6,9,0.5,0.21428571428571427,7,6,H
279,2022-03-13,1531.57,1434.39,9,5,0.5384615384615384,0.07692307692307693,8,9,H
280,2022-03-13,1577.04,1490.98,13,7,0.6666666666666666,0.46153846153846156,7,8,H
281,2022-03-14,1437.3,1619.91,3,13,0.2857142857142857,0.6923076923076923,8,9,A
282,2022-03-18,1516.89,1466.61,6,3,0.5384615384615384,0.0,5,6,D
283,2022-03-19,1428.98,1433.52,5,1,0.2857142857142857,0.07142857142857142,6,7,A
284,2022-03-19,1481.57,1499.47,6,7,0.38461538461538464,0.2857142857142857,7,7,A
285,2022-03-19,1485.31,1418.23,6,8,0.21428571428571427,0.07142857142857142,6,7,H
286,2022-03-19,1458.13,1557.16,1,12,0.5714285714285714,0.42857142857142855,6,8,A
287,2022-03-20,1477.11,1430.3,6,0,0.5,0.15384615384615385,8,6,H
288,2022-03-20,1444.33,1539.11,6,10,0.07142857142857142,0.23076923076923078,9,8,H
289,2022-03-20,1492.77,1536.05,5,9,0.35714285714285715,0.5384615384615384,8,7,D
290,2022-03-20,1587.88,1536.98,9,9,0.7692307692307693,0.35714285714285715,7,7,D
291,2022-03-20,1626.91,1582.71,13,13,0.7142857142857143,0.35714285714285715,6,7,A
292,2022-04-02,1470.06,1423.67,4,0,0.42857142857142855,0.14285714285714285,15,13,H
293,2022-04-02,1412.1,1528.54,5,9,0.14285714285714285,0.21428571428571427,14,13,H
294,2022-04-02,1491.86,1613.61,5,12,0.3333333333333333,0.7142857142857143,13,13,A
295,2022-04-02,1566.47,1416.98,15,2,0.6428571428571429,0.07142857142857142,14,14,H
296,2022-04-03,1513.43,1469.94,7,6,0.5,0.2,16,15,H
297,2022-04-03,1536.96,1491.43,7,6,0.5333333333333333,0.42857142857142855,14,15,H
298,2022-04-03,1445.52,1448.82,4,1,0.2857142857142857,0.07692307692307693,15,15,D
299,2022-04-03,1511.1,1454.89,10,8,0.35714285714285715,0.21428571428571427,15,14,D
300,2022-04-03,1596.01,1584.41,15,7,0.6923076923076923,0.3333333333333333,14,14,H
301,2022-04-04,1540.45,1483.74,10,8,0.5714285714285714,0.07142857142857142,15,15,H
302,2022-04-08,1576.85,1443.48,6,5,0.7142857142857143,0.13333333333333333,5,5,H
303,2022-04-09,1458.5,1543.62,8,7,0.13333333333333333,0.5,6,6,A
304,2022-04-09,1417.03,1570.78,0,15,0.26666666666666666,0.4666666666666667,7,7,H
305,2022-04-09,1517.36,1520.15,6,7,0.6,0.2,7,6,D
306,2022-04-09,1622.27,1476.71,12,6,0.6666666666666666,0.0,7,7,H
307,2022-04-10,1484.77,1412.67,6,2,0.26666666666666666,0.06666666666666667,7,8,H
308,2022-04-10,1477.36,1483.2,7,4,0.5333333333333333,0.2857142857142857,6,8,H
309,2022-04-10,1463.23,1546.83,3,10,0.35714285714285715,0.3333333333333333,7,6,A
310,2022-04-10,1423.29,1603.57,7,15,0.2,0.4,8,7,A
311,2022-04-11,1450.86,1507.49,2,11,0.5333333333333333,0.3333333333333333,8,8,D
312,2022-04-15,1556.59,1553.33,10,10,0.6,0.5333333333333333,5,6,D
313,2022-04-16,1453.48,1429.26,3,3,0.3333333333333333,0.13333333333333333,6,7,H
314,2022-04-16,1406.67,1450.33,1,3,0.26666666666666666,0.07142857142857142,6,5,H
315,2022-04-16,1508.02,1490.77,9,9,0.3333333333333333,0.4,5,6,A
316,2022-04-16,1472.32,1515.31,5,4,0.4666666666666667,0.2,7,7,A
317,2022-04-17,1438.85,1416.23,4,4,0.26666666666666666,0.06666666666666667,9,7,A
318,2022-04-17,1558.55,1485.39,12,10,0.6666666666666666,0.06666666666666667,8,7,H
